county_names,n,Percent
Kanawha,1462,0.18894283768362802
Kandiyohi,731,0.09447141884181401
Kane,1175,0.1518521438291812
Kankakee,731,0.09447141884181401
"Kaufman,Collin,Dallas",135,0.017446842056969756
Kendall,941,0.12161095093043363
Kennebec,149,0.019256144196211064
Kenosha,731,0.09447141884181401
Kent,6652,0.8596769878737985
Kenton,261,0.03373056131014153
Kern,731,0.09447141884181401
Kershaw,134,0.01731760618988109
"Kewaunee,Brown",165,0.021323918069629702
"King,Pierce",485,0.06267939553800245
"King,Snohomish",969,0.12522955520891624
Kings,3400,0.4394019481014605
Kittitas,650,0.08400331360763215
Klamath,731,0.09447141884181401
Knox,2040,0.2636411688608763
Kootenai,731,0.09447141884181401
Kosciusko,526,0.06797806608863771
La Crosse,731,0.09447141884181401
La Paz,550,0.07107972689876567
La Plata,202,0.0261056451519103
La Salle,978,0.12639267801271423
Lackawanna,114,0.014732888848107792
Laclede,422,0.054537535911416565
Lafayette,1373,0.17744084551273684
Lafourche,731,0.09447141884181401
Lake,4741,0.61270724586736
Lancaster,2421,0.3128800342216576
Lane,1462,0.18894283768362802
Laramie,462,0.05970697059496316
Latah,177,0.022874748474693677
Lawrence,1259,0.16270795666462903
Le Sueur,731,0.09447141884181401
"Le Sueur,Scott",731,0.09447141884181401
Lee,1456,0.18816742248109602
Lehigh,115,0.014862124715196457
Lenawee,731,0.09447141884181401
Lenoir,1139,0.14719965261398926
Leon,920,0.11889699772157165
Lewis,731,0.09447141884181401
Lewis And Clark,1462,0.18894283768362802
Lexington,134,0.01731760618988109
Licking,972,0.12561726281018223
Lincoln,3366,0.4350079286204459
Linn,1868,0.24141259972162593
Livingston,5005,0.6468255147787676
Lorain,972,0.12561726281018223
Los Angeles,2586,0.3342039522912873
Loudoun,647,0.08361560600636617
Lucas,972,0.12561726281018223
Luna,321,0.041484713335461415
Lyon,731,0.09447141884181401
Mackinac,731,0.09447141884181401
Macomb,731,0.09447141884181401
"Macomb,Wayne",731,0.09447141884181401
Macon,1505,0.1944999799684406
Macoupin,731,0.09447141884181401
Madison,4845,0.6261477760445812
Mahoning,1217,0.1572800502469051
Malheur,731,0.09447141884181401
Manistee,2193,0.283414256525442
Manitowoc,731,0.09447141884181401
Marathon,1309,0.1691697500190623
"Marathon,Wood",731,0.09447141884181401
Maricopa,5435,0.7023969376268935
Marin,1637,0.21155911442414435
Marinette,1462,0.18894283768362802
Marion,5872,0.75887301154464
Marlboro,135,0.017446842056969756
Marquette,3655,0.47235709420907
Marshall,1576,0.2036757265317358
"Martin,Palm Beach",352,0.04549102521521003
"Martinsville City,Henry",338,0.043681723075968716
Mason,731,0.09447141884181401
Maui,968,0.12510031934182758
Mcdonough,731,0.09447141884181401
Mcdowell,644,0.08322789840510016
Mchenry,3655,0.47235709420907
Mckean,114,0.014732888848107792
Mclennan,246,0.031792023303811555
Mecklenburg,2680,0.3463521237976218
Medina,486,0.06280863140509112
Menominee,731,0.09447141884181401
Merced,731,0.09447141884181401
Mercer,1330,0.17188370322792426
"Mercer,Trumbull",114,0.014732888848107792
Mesa,203,0.026234881018998967
Miami-Dade,1970,0.25459465816466975
Middlesex,386,0.04988504469622463
"Middlesex,Somerset,Union",716,0.09253288083548403
Midland,731,0.09447141884181401
Mille Lacs,731,0.09447141884181401
"Milwaukee,Ozaukee",451,0.05828537605698785
"Milwaukee,Ozaukee,Racine,Waukesha,Washington",451,0.05828537605698785
Mineral,731,0.09447141884181401
Mohave,534,0.06901195302534703
Monmouth,3237,0.4183365017660081
Mono,105,0.01356976604430981
Monongalia,1462,0.18894283768362802
Monroe,4844,0.6260185401774926
Monterey,1152,0.1488797188861419
Montgomery,6378,0.8242663602915045
Morgan,852,0.11010895875954245
Morris,1189,0.15366144596842252
Morrison,731,0.09447141884181401
Multnomah,1356,0.17524383577222954
Muscatine,731,0.09447141884181401
"Muscogee,Chattahoochee",731,0.09447141884181401
Muskegon,2572,0.332394650152046
Muskingum,486,0.06280863140509112
Muskogee,731,0.09447141884181401
Napa,1462,0.18894283768362802
Nassau,4899,0.6331265128673691
Natchitoches,696,0.08994816349371074
Nemaha,610,0.07883387892408555
Nevada,267,0.034505976512673515
New Castle,1182,0.15275679489880184
New Hanover,1130,0.14603652981019127
New Haven,1168,0.15094749275956054
New London,889,0.11489068584182305
New York,1360,0.1757607792405842
Newport,232,0.029982721164570243
"Newport News City,York,New Kent,Williamsburg City,James City",646,0.0834863701392775
Newton,2193,0.283414256525442
Niagara,2715,0.3508753791457251
Noble,731,0.09447141884181401
Nobles,731,0.09447141884181401
Norfolk City,646,0.0834863701392775
"Northampton,Bucks",168,0.021711625670895695
"Northampton,Halifax",566,0.0731475007721843
"Norton City,Wise",646,0.0834863701392775
Nueces,218,0.02817341902532894
"Oakland,Macomb",731,0.09447141884181401
